Manga series,Author(s),Publisher,Demographic,No. of collected volumes,Serialized,Approximate sales in million(s),Average sales per volume in million(s)
Neon Genesis Evangelion,Yoshiyuki Sadamoto,Kadokawa Shoten,Sh?nen,14,1994–2013,25,1.78
Oh My Goddess!,K?suke Fujishima,Kodansha,Seinen,48,1988–2014,25,0.52
Patalliro!,Mineo Maya,Hakusensha,Sh?jo,101,1979–present,25,0.24
Parasyte,Hitoshi Iwaaki,Kodansha,Seinen,10,1988–1995,25,2.5
The Ping Pong Club,Minoru Furuya,Kodansha,Seinen,13,1993–1996,25,1.92
Saiyuki,Kazuya Minekura,"Square Enix, Ichijinsha",Sh?nen/sh?jo/Josei,27,1997–present,25,1.08
Toriko,Mitsutoshi Shimabukuro,Shueisha,Sh?nen,43,2008–2016,25,0.58
Ahiru no Sora,Hinata Takeshi,Kodansha,Sh?nen,51,2004–2019 (on hiatus),24,0.47
Chainsaw Man,Tatsuki Fujimoto,Shueisha,Sh?nen,14,2018–present,24,1.71
Gantz,Hiroya Oku,Shueisha,Seinen,37,2000–2013,24,0.64
Golden Kamuy,Satoru Noda,Shueisha,Seinen,31,2014–2022,24,0.77
Zatch Bell!,Makoto Raiku,Shogakukan,Sh?nen,33,2001–2007,23.8,0.72
Rave Master,Hiro Mashima,Kodansha,Sh?nen,35,1999–2005,23.5,0.67
Himitsu Series ,"Yasuko Uchiyama, Tokuo Yokota, Terumi Fujiki, Yoshitari Iizuka",Gakken,Children,116,1972–2014,23,0.19
The Rose of Versailles,Riyoko Ikeda,Shueisha,Sh?jo,10,1972–1973,23,2.3
Abu-san,Shinji Mizushima,Shogakukan,Seinen,107,1973–2014,22,0.2
Cardcaptor Sakura,Clamp,Kodansha,Sh?jo,24,1996–present,22,0.91
Hoshin Engi,Ryu Fujisaki,Shueisha,Sh?nen,23,1996–2000,22,0.95
Kaguya-sama: Love Is War,Aka Akasaka,Shueisha,Seinen,28,2015–2022,22,0.79
Terra Formars,"Y? Sasuga, Kenichi Tachibana",Shueisha,Seinen,22,2011–2018 (on hiatus),22,1
D?butsu no Oisha-san,Noriko Sasaki,Hakusensha,Sh?jo,12,1987–1993,21.6,1.8
Kaiji,Nobuyuki Fukumoto,Kodansha,Seinen,79,1996–present,21.5,0.28
Rookies,Masanori Morita,Shueisha,Sh?nen,24,1998–2003,21,0.87
Tsubasa: Reservoir Chronicle,Clamp,Kodansha,Sh?nen,28,2003–2009,21,0.71
Ushijima the Loan Shark,Shohei Manabe,Shogakukan,Seinen,46,2004–2019,21,0.45
Dragon Quest Retsuden: Roto no Monsh?,"Chiaki Kawamata, Junji Koyanagi, Kamui Fujiwara",Enix,Sh?nen,21,1991–1997,20.9,0.99
Sh?nen Sh?jo Nippon no Rekishi ,"K?ta Kodama, Arakawa Shoji",Shogakukan,Children,24,1981–2018,20.2,0.84
750 Rider,Isami Ishii,Akita Shoten,Sh?nen,50,1975–1985,20,0.4
Buddha,Osamu Tezuka,Ushio Shuppan,Seinen,14,1972–1983,20,1.42
Cat's Eye,Tsukasa Hojo,Shueisha,Sh?nen,18,1981–1984,20,1.11
Cuffs - Kizu Darake no Chizu ,Jin Tojo,Shueisha,Seinen,32,1997–2005,20,0.63
Eyeshield 21,"Riichiro Inagaki, Yusuke Murata",Shueisha,Sh?nen,37,2002–2009,20,0.54
The Fable,Katsuhisa Minami,Kodansha,Seinen,26,2014–present,20,1.53
Fire Force,Atsushi Ohkubo,Kodansha,Sh?nen,34,2015–2022,20,0.58
Food Wars!: Shokugeki no Soma,"Y?to Tsukuda, Shun Saeki",Shueisha,Sh?nen,36,2012–2019,20,0.55
Fushigi Yûgi,Yuu Watase,Shogakukan,Sh?jo,18,1991–1996,20,1.11
Giant Killing,"Masaya Tsunamoto, Tsujitomo",Kodansha,Seinen,61,2007–present,20,0.32
Haruhi Suzumiya,"Makoto Mizuno, Gaku Tsugano, Puyo, Eretto",Kadokawa Shoten,Sh?nen,57,2004–2018,20,0.35
Hayate the Combat Butler,Kenjiro Hata,Shogakukan,Sh?nen,52,2004–2017,20,0.38
Kimagure Orange Road,Izumi Matsumoto,Shueisha,Sh?nen,18,1984–1987,20,1.11
Tasogare Ry?seigun ,Kenshi Hirokane,Shogakukan,Seinen,64,1995–present,20,0.31
Love Hina,Ken Akamatsu,Kodansha,Sh?nen,14,1998–2001,20,1.42
Master Keaton,"Naoki Urasawa, Hokusei Katsushika, Takashi Nagasaki",Shogakukan,Seinen,18,1988–1994,20,1.11
Monster,Naoki Urasawa,Shogakukan,Seinen,18,1994–2001,20,1.11
Negima! Magister Negi Magi,Ken Akamatsu,Kodansha,Sh?nen,38,2003–2012,20,0.52
Peacock King,Makoto Ogino,Shueisha/Shogakukan/Leed,Seinen,55,1985–2019,20,0.36
The Quintessential Quintuplets,Negi Haruba,Kodansha,Sh?nen,14,2017–2020,20,1.42
Red River,Chie Shinohara,Shogakukan,Sh?jo,28,1995–2002,20,0.71
Sh?nen Ashibe,Hiromi Morishita,Shueisha,Seinen,8,1988–1994,20,2.5
Sukeban Deka,Shinji Wada,Hakusensha,Sh?jo,22,1976–1982,20,0.9
Swan,Kyoko Ariyoshi,Shueisha,Sh?jo,21,1976–1981,20,0.95
The Tale of Genji,Waki Yamato,Kodansha,Sh?jo,13,1980–1993,20,1.53
Tokyo Daigaku Monogatari,Tatsuya Egawa,Shogakukan,Seinen,34,1992–2001,20,0.58
Weed,Yoshihiro Takahashi,Nihon Bungeisha,Seinen,60,1999–2009,20,0.33
